Gene1	Gene2	EdgeWeight
UGR	UGR	35.3680992525304
SRY	UGR	29.8442577169709
WT1mKTS	UGR	28.0608581321146
GATA4	UGR	26.1405733369704
NR0B1	UGR	24.0500503721874
CBX2	UGR	23.9784028191078
UGR	SRY	23.1848057942074
WNT4	UGR	22.622520573504
SRY	SRY	19.7647697537223
CBX2	CBX2	18.7807181591737
CTNNB1	UGR	18.5544595965729
UGR	CBX2	18.082992107499
RSPO1	UGR	17.6836889406302
WT1mKTS	SRY	16.5095400561181
GATA4	SRY	15.4311632631992
NR0B1	SRY	13.7944963302947
WNT4	SRY	13.0689183521974
CBX2	SRY	12.9229781715993
SRY	WT1mKTS	12.6157073504781
RSPO1	WT1mKTS	12.3133775974088
WT1pKTS	UGR	12.0723180432992
UGR	WT1mKTS	12.0388692580857
WT1mKTS	CBX2	11.9075732581392
RSPO1	WNT4	11.5479604507046
CTNNB1	SRY	11.4385882326114
NR5A1	WNT4	11.148376082707
GATA4	CBX2	11.1257891978875
WNT4	CBX2	10.7454212751918
NR0B1	CBX2	10.6701041985439
RSPO1	SRY	10.5723295287459
WNT4	WT1mKTS	10.2534478092023
UGR	NR0B1	10.1999046178981
SRY	CBX2	10.1959820616763
CTNNB1	WNT4	10.1094055367371
WT1mKTS	WT1mKTS	9.86397217127293
UGR	CTNNB1	9.82442868823445
NR0B1	WT1mKTS	9.65519458360607
SRY	NR0B1	9.57123744071862
NR0B1	NR0B1	9.41221700271148
CTNNB1	NR0B1	9.12981564886486
SRY	WNT4	9.10361270379274
CTNNB1	WT1mKTS	8.76742230833891
WT1pKTS	NR5A1	8.75066296525388
GATA4	WT1mKTS	8.75053178120508
FOXL2	UGR	8.66524890570538
CBX2	WNT4	8.63902440475356
SRY	GATA4	8.24034128510483
CBX2	CTNNB1	8.18162131282914
WT1pKTS	WT1pKTS	7.80040362154129
UGR	DKK1	7.75494782612574
CTNNB1	GATA4	7.75308554450852
WT1mKTS	NR0B1	7.70447757867411
RSPO1	NR0B1	7.38807435695832
GATA4	NR0B1	7.05122184209523
FOXL2	SRY	6.81669881972213
UGR	AMH	6.79353551673428
NR5A1	GATA4	6.75682435787708
CBX2	DKK1	6.5785411209074
WT1pKTS	CBX2	6.47415480729127
WT1mKTS	CTNNB1	6.32535514576344
WT1mKTS	DKK1	6.13897732390856
GATA4	NR5A1	6.13029576903015
NR5A1	NR5A1	6.07576675641672
GATA4	CTNNB1	6.06004149625531
GATA4	DKK1	5.89765021788592
WNT4	WNT4	5.87864181740081
WT1pKTS	WT1mKTS	5.82183312101569
SRY	CTNNB1	5.6139949230648
SRY	AMH	5.57179323194939
CBX2	NR5A1	5.50494170933411
UGR	GATA4	5.2271472509288
SRY	RSPO1	5.05929350171733
WNT4	NR0B1	5.04712233030165
WNT4	CTNNB1	4.94724512797298
WT1pKTS	SRY	4.93906650879014
UGR	RSPO1	4.89255218050607
FOXL2	CBX2	4.84337465502516
WT1mKTS	AMH	4.83091404692169
NR0B1	GATA4	4.76900761320568
NR5A1	RSPO1	4.61665357046737
RSPO1	RSPO1	4.60997502755847
WT1pKTS	GATA4	4.51446181124308
CTNNB1	AMH	4.46520162819502
NR0B1	RSPO1	4.44547221492344
NR5A1	CBX2	4.43881775962066
NR0B1	WNT4	4.31360529949379
NR0B1	DKK1	4.24978085165396
NR0B1	AMH	4.23073103372035
GATA4	GATA4	4.16782749961826
UGR	WT1pKTS	3.98219448727961
FOXL2	NR0B1	3.95635330984577
GATA4	WT1pKTS	3.95146379381935
CBX2	NR0B1	3.94035267182608
GATA4	AMH	3.90624009081864
NR5A1	NR0B1	3.88452392028125
FOXL2	CTNNB1	3.82745338370479
WNT4	GATA4	3.7875898422452
RSPO1	GATA4	3.77185026427377
CBX2	AMH	3.70913617376784
UGR	NR5A1	3.66871182491858
WT1mKTS	NR5A1	3.6469835547425
SRY	DKK1	3.5540704549318
UGR	FGF9	3.54035328979089
NR0B1	CTNNB1	3.50848094142464
NR5A1	WT1pKTS	3.48828691707704
FOXL2	NR5A1	3.44581740532302
WNT4	DKK1	3.43336844091356
FOXL2	GATA4	3.42791226937387
WT1mKTS	GATA4	3.39679480638849
CTNNB1	RSPO1	3.19881428578023
SRY	FGF9	3.13273614046438
CBX2	DMRT1	3.12196933521601
WNT4	WT1pKTS	3.09851554685088
WNT4	RSPO1	3.07124565615582
CTNNB1	DHH	3.065215275523
FOXL2	RSPO1	3.02457556837925
FOXL2	AMH	3.00622944846483
CTNNB1	NR5A1	3.00246998704065
CBX2	WT1mKTS	2.99803979800697
NR5A1	WT1mKTS	2.95127075057194
SRY	DHH	2.88828675347311
WT1pKTS	RSPO1	2.84852772367703
WNT4	AMH	2.81665405139724
RSPO1	WT1pKTS	2.80363460520315
RSPO1	CBX2	2.75250017361429
FOXL2	WT1pKTS	2.7418813156266
NR5A1	DMRT1	2.66589657672281
WT1mKTS	FGF9	2.66495457683546
RSPO1	AMH	2.64953135071506
FOXL2	DKK1	2.50357625508962
CBX2	WT1pKTS	2.50224764606548
NR0B1	FGF9	2.48648605112496
NR5A1	SRY	2.44894124116987
